index,prediction
0,2.65 centimetre
1,2300 foot
2,21.87 centimetre
3,0.1526 metre
4,10.5 centimetre
5,10.5 foot
6,10 centimetre
7,1.5 centimetre
8,40 centimetre
9,15 centimetre
10,1000 gram
11,30.6 centimetre
12,1.4 inch
13,4.3 inch
14,2.56 inch
15,1.9 kilogram
16,1000 kilogram
17,
18,24 watt
19,240 volt
20,120 centimetre
21,36 centimetre
22,2 millilitre
23,
24,
25,3.8 inch
26,3.8 inch
27,
28,0.4 gram
29,2.62 pound
30,
31,
32,5.8 inch
33,5.8 inch
34,5.8 inch
35,1.361 pound
36,8 centimetre
37,9.1 volt
38,1010 watt
39,90 centimetre
40,120 centimetre
41,2.9 inch
42,96 centimetre
43,48 inch
44,60 centimetre
45,5.8 inch
46,14 centimetre
47,14 centimetre
48,35 inch
49,47 inch
50,47 inch
51,
52,
53,7.56 inch
54,7.56 inch
55,12.7 centimetre
56,
57,12 centimetre
58,90 centimetre
59,
60,
61,24 gram
62,350 millimetre
63,800 millimetre
64,200 millimetre
65,1.5 volt
66,
67,11.5 centimetre
68,10 centimetre
69,4.2 inch
70,4.2 centimetre
71,9.1 inch
72,2.72 foot
73,23 centimetre
74,1.5 kilowatt
75,
76,4.7 inch
77,12 centimetre
78,
79,120 centimetre
80,2 pound
81,243 pound
82,5.05 kilogram
83,12.75 ounce
84,59.05 centimetre
85,39 inch
86,39.99 centimetre
87,
88,
89,15.5 kilogram
90,60 centimetre
91,200 pound
92,500 millimetre
93,23.95 centimetre
94,10 gram
95,12.5 centimetre
96,12.5 centimetre
97,2 volt
98,34.5 centimetre
99,4.33 centimetre
100,14.6 inch
101,59 millilitre
102,
103,62 centimetre
104,69 centimetre
105,75.5 centimetre
106,20 centimetre
107,2 metre
108,3.1 ounce
109,40 centimetre
110,8 centimetre
111,284 gram
112,2 watt
113,1.8 kilogram
114,
115,20 watt
116,1.5 ounce
117,750 milligram
118,12.5 centimetre
119,17.9 inch
120,100 gram
121,12 centimetre
122,250 gram
123,660 pound
124,2 pound
125,
126,12 volt
127,191 centimetre
128,180 centimetre
129,7.8 pound
130,40 centimetre
131,
132,2.6 inch
133,2.56 inch
134,50 pound
135,20 centimetre
136,20 centimetre
137,20 centimetre
138,29.95 centimetre
139,10 centimetre
140,11.5 millimetre
141,14 centimetre
142,35.3 inch
143,82.2 inch
144,10 centimetre
145,90 centimetre
146,3.91 inch
147,2.5 fluid ounce
148,50 centimetre
149,50 centimetre
150,
151,74.93 centimetre
152,7.86 inch
153,20 centimetre
154,10 centimetre
155,5 centimetre
156,50 millimetre
157,74 inch
158,30.3 inch
159,2.31 pound
160,25 centimetre
161,32 fluid ounce
162,82 centimetre
163,76 inch
164,250 gram
165,
166,1200 watt
167,6 kilogram
168,10.5 centimetre
169,10.5 centimetre
170,8 kilogram
171,33.1 centimetre
172,2.12 pound
173,1.1 inch
174,7.8 inch
175,14 centimetre
176,
177,0.79 inch
178,20 pound
179,1.1 inch
180,2.8 centimetre
181,32 ounce
182,74.5 centimetre
183,1800 watt
184,180 kilovolt
185,14.1 gram
186,5.08 centimetre
187,7.19 centimetre
188,2.7 centimetre
189,11 inch
190,0.35 ounce
191,61 centimetre
192,61 centimetre
193,2.72 kilogram
194,127.5 centimetre
195,27.4 centimetre
196,35.3 centimetre
197,40 pound
198,33 gram
199,2 ounce
200,37.5 centimetre
201,15.5 centimetre
202,17.5 centimetre
203,13.2 inch
204,13.2 inch
205,1700 watt
206,
207,11.5 inch
208,226 gram
209,11.8 kilogram
210,213.5 millimetre
211,5.9 gram
212,128 centimetre
213,12.5 volt
214,60 centimetre
215,30 centimetre
216,12 volt
217,
218,
